BookingCode,UserEmail,EventName,TotalPrice,Status,CreatedAt
BOOK1768741263157-1,user1@test.com,Sunidhi,900.0,CANCELLED,2026-01-18T18:31:03.159411
BOOK1768815395281-1,user1@test.com,Sunidhi,1000.0,CANCELLED,2026-01-19T15:06:35.283676
BOOK1768905299200-1,user1@test.com,Sunidhi,600.0,CANCELLED,2026-01-20T16:04:59.202675
BOOK1768905892622-5,user1@test.com,Sunidhi,900.0,CONFIRMED,2026-01-20T16:14:52.622160
BOOK1768906204696-6,user1@test.com,Sunidhi,540.0,REFUNDED,2026-01-20T16:20:04.696288
BOOK1768906315191-7,user1@test.com,rajiv,540.0,CANCELLED,2026-01-20T16:21:55.191152
BOOK1768906423525-8,user1@test.com,rajiv,540.0,REFUNDED,2026-01-20T16:23:43.525634
BOOK1768913236095-1,user1@test.com,rajiv,1000.0,CANCELLED,2026-01-20T18:17:16.096591
BOOK1768916746162-1,user1@test.com,rajiv,1000.0,CONFIRMED,2026-01-20T19:15:46.164467
BOOK1768916758689-2,user1@test.com,rajiv,300.0,CANCELLED,2026-01-20T19:15:58.689863
BOOK1768917348506-1,user1@test.com,rajiv,300.0,REFUNDED,2026-01-20T19:25:48.507083
BOOK1768960269617-1,user1@test.com,rajiv,1000.0,CONFIRMED,2026-01-21T07:21:09.619558
BOOK1768960359963-3,user1@test.com,rajiv,300.0,CONFIRMED,2026-01-21T07:22:39.963843
BOOK1768962267655-4,user1@test.com,rajiv,600.0,CONFIRMED,2026-01-21T07:54:27.655632
BOOK1768962818294-6,user1@test.com,rajiv,540.0,REFUNDED,2026-01-21T08:03:38.294238
BOOK1768964940543-1,user1@test.com,rajiv,540.0,REFUNDED,2026-01-21T08:39:00.543698
BOOK1768975150480-1,user1@test.com,rajiv,540.0,REFUNDED,2026-01-21T11:29:10.488865
