BookingCode,UserEmail,EventName,TotalPrice,Status,CreatedAt
BOOK1770096955070-1,user1@test.com,Comedy Night,540.0,CANCELLED,2026-02-03T05:35:55.071767
BOOK1770097245414-1,user1@test.com,Music Concert,540.0,CANCELLED,2026-02-03T05:40:45.415853
BOOK1770097985610-1,user1@test.com,Music Concert,540.0,CANCELLED,2026-02-03T05:53:05.612560
BOOK1770098001614-2,user1@test.com,Music Concert,270.0,REFUNDED,2026-02-03T05:53:21.614622
BOOK1770098043215-3,user1@test.com,Music Concert,900.0,CONFIRMED,2026-02-03T05:54:03.215420
BOOK1770100103512-1,user1@test.com,Music Concert,270.0,CONFIRMED,2026-02-03T06:28:23.514627
BOOK1770105197620-1,user1@test.com,Mall event,540.0,CONFIRMED,2026-02-03T07:53:17.621623
BOOK1770107630578-1,user1@test.com,Mall event,900.0,CONFIRMED,2026-02-03T08:33:50.579272
BOOK1770109047731-1,user1@test.com,Music Concert,540.0,CONFIRMED,2026-02-03T08:57:27.733628
BOOK1770109627266-1,user1@test.com,Music Concert,270.0,CONFIRMED,2026-02-03T09:07:07.267234
BOOK1770110057749-1,user1@test.com,Music Concert,0.0,REFUNDED,2026-02-03T09:14:17.750462
